company,segment,careers_url,ats_hint,ats_slug_or_tenant,confidence,notes,ats,slug,board_status,jobs_total,jobs_relevant_us,last_checked,detect_note
Burford Capital,litigation_finance,https://careers.burfordcapital.com/,custom (jobs2web-style),,verified_url,VP Commercial + VP Patent live Sept 2026; Associate tier exists,successfactors,careers.burfordcapital.com,ok,2,2,2026-09-25,SuccessFactors sitemap
Parabellum Capital,litigation_finance,https://www.parabellumcap.com/,detect,,guess,16-person team; rare openings,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Fortress Investment Group (Legal Assets),litigation_finance,https://www.fortress.com/,detect,,guess,Legal-assets team hires ex-litigators,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Omni Bridgeway,litigation_finance,https://omnibridgeway.com/,detect,,guess,,bamboohr,omnibridgeway,ok,6,2,2026-09-25,probe hit (6 jobs; board 'omnibridgeway')
Longford Capital,litigation_finance,https://www.longfordcapital.com/,detect,,guess,,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Legalist,litigation_finance,https://www.legalist.com/,detect,,guess,,greenhouse,legalist,ok,5,0,2026-09-25,linked from https://www.legalist.com/
Bench Walk Advisors,litigation_finance,,detect,,guess,,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Certum Group,litigation_finance,https://www.certumgroup.com/,detect,,guess,Absorbed Validity; William Marra,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Parabellum,litigation_finance,,detect,,guess,split from 'Parabellum / LCM / Therium / Harbour'; Check each separately,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
LCM,litigation_finance,,detect,,guess,split from 'Parabellum / LCM / Therium / Harbour'; Check each separately,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Therium,litigation_finance,,detect,,guess,split from 'Parabellum / LCM / Therium / Harbour'; Check each separately,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
Harbour,litigation_finance,,detect,,guess,split from 'Parabellum / LCM / Therium / Harbour'; Check each separately,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
GLS Capital,litigation_finance,https://www.glscap.com/,detect,,guess,,none,,none,,,2026-09-25,"no careers link to a known ATS and no probe hit (greenhouse, lever, ashby, workable, recruitee, bamboohr; smartrecruiters API is robots-blocked)"
