bucket,is_new,fit_score,company,title,url,location,loc_bucket,workplace,pay_display,pay_min,pay_max,pay_type,pay_period,pay_source,years_required,years_text,jd_required,sales_attached,litigation_accepted,domain_floor,hard_exclude_reason,poor_reason,fit_signals,judgment_rationale,posted_date,closes_date,status,status_evidence,verified_at,via_aggregator,pipeline,sources,ats,board,job_id,key
fit,0,8,Burford Capital,"Vice President, U.S. Commercial Underwriting","https://careers.burfordcapital.com/job/New-York-Vice-President,-Commercial-Underwriting-NY-10017/1331385600/","New York, NY",nyc,,$250K base + bonus,250000.0,250000.0,base,year,regex:single,4,- 4+ years of broad commercial litigation experience from a top-tier U.S. law fi,Y,N,Y,litigation-finance underwriting (litigation background) (meets: Y),,,JD required/preferred; clerkship valued; litigation experience accepted; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band); seat family: litigation-finance underwriting,"""unique opportunity for litigators to apply their experience to investing"" - litigation is the accepted domain.",2026-09-15,,open,Employer SuccessFactors job page loaded with title and description on this run,2026-09-25,,False,board:successfactors; seed,successfactors,careers.burfordcapital.com,1331385600,successfactors:careers.burfordcapital.com:1331385600
fit,0,7,Brex,"Senior Counsel, Risk",https://www.brex.com/careers/8834121002?gh_jid=8834121002,"San Francisco, California, United States; New York, New York, United States",nyc,,$270K–$335K base + equity,270000.0,335000.0,base,year,regex:range,3,"of experience as an attorney, including at least 3 years focused on one or more of the following: litigation or commercial dis",Y,N,Y,,,,JD required/preferred; litigation experience accepted; financial-services background a plus; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 3 years required (2–5 band),,2026-09-22,,open,Greenhouse API lists job 8834121002 on board 'brex',2026-09-25,,False,board:greenhouse,greenhouse,brex,8834121002,greenhouse:brex:8834121002
fit,0,7,Gc Ai,R&D Attorney,https://jobs.ashbyhq.com/gc-ai/8d33e41c-f666-4178-91fc-89787931935c,Remote - United States; Remote - Canada,us_remote,remote,$150K–$240K base,150000.0,240000.0,base,year,ashby:compensation,5,"- 5+ years of legal experience, ideally with meaningful in-house experience. -",N,N,Y,5+ yrs in-house legal (any substantive area incl. litigation) (meets: stretch),,,JD required/preferred; litigation experience accepted; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band); seat family: legal-AI research/build seat,"""5+ years of legal experience"" in any of several areas ""including... litigation work"" — he is about a year short.",2026-09-22,,open,Ashby API lists job on board 'gc-ai',2026-09-25,,False,board:ashby,ashby,gc-ai,8d33e41c-f666-4178-91fc-89787931935c,ashby:gc-ai:8d33e41c-f666-4178-91fc-89787931935c
fit,0,7,Fivetran ,"Compliance, Employment & Litigation Counsel",https://www.fivetran.com/careers/job?gh_jid=7870801003,USA - New York,nyc,,"$186,895–$224,283 base + bonus + equity",186895.0,224283.0,base,year,greenhouse:pay_input_ranges,4,"- 4-7 years of experience, including significant compliance, employment and/or li",Y,N,Y,employment and commercial litigation counsel (meets: stretch),,,JD required/preferred; litigation experience accepted; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),Employment-heavy compliance and litigation seat at a data-infrastructure company; excerpt shows no finance or regulatory research component.,2026-08-14,,open,Greenhouse API lists job 7870801003 on board 'fivetran',2026-09-25,,False,board:greenhouse,greenhouse,fivetran,7870801003,greenhouse:fivetran:7870801003
fit,0,7,Harvey,Applied Legal Researcher,https://jobs.ashbyhq.com/harvey/ec074cbf-8d48-4661-b26c-1fdfb01df783,New York,nyc,,$180K–$220K base + equity,180000.0,220000.0,base,year,ashby:compensation,3,"- 3-7 years of experience at a US law firm, financial institution, or equivalent",pref,N,Y,"3+ yrs legal practice (any), AI research/build (meets: Y)",,,JD required/preferred; litigation experience accepted; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 3 years required (2–5 band); seat family: legal-AI research/build seat,"""3-7 years of experience at a US law firm, financial institution, or equivalent"" with NYC applicants noted to need ""in-house or financial institution"" experience -- he fits directly. (Already in his pipeline per CLAUDE.md.)",2026-02-05,,open,Ashby API lists job on board 'harvey',2026-09-25,,True,board:ashby,ashby,harvey,ec074cbf-8d48-4661-b26c-1fdfb01df783,ashby:harvey:ec074cbf-8d48-4661-b26c-1fdfb01df783
fit,0,6,Brex,Credit Card Counsel,https://www.brex.com/careers/8697069002?gh_jid=8697069002,"New York, New York, United States; San Francisco, California, United States",nyc,,$220K–$270K base + bonus + equity,220000.0,270000.0,base,year,regex:range,4,- 4+ years working experience in a combination of law firms and technology or fi,Y,N,unclear,,,,JD required/preferred; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),,2026-08-11,,open,Greenhouse API lists job 8697069002 on board 'brex',2026-09-25,,False,board:greenhouse,greenhouse,brex,8697069002,greenhouse:brex:8697069002
fit,0,6,Citi,"Lead Counsel - Americas Equities Derivatives,VP",https://citi.wd5.myworkdayjobs.com/2/job/New-York-New-York-United-States/Lead-Counsel---Americas-Futures-and-Derivatives-Clearing--VP_26982505,New York New York United States,nyc,,"$175,840–$263,760 base",175840.0,263760.0,base,year,regex:range,4,"- 4-6 years of relevant industry experience, preferably in financial services. -",pref,N,unclear,4+ yrs derivatives/futures clearing regulatory counsel (meets: stretch),,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"""4-6 years of relevant industry experience, preferably in financial services"" -- he is within range but lacks derivatives-specific background.",2026-09-22,,open,"Workday detail endpoint returned 26982505 with posted=true, canApply=True on this run",2026-09-25,,False,board:workday,workday,citi|wd5|2,26982505,workday:citi|wd5|2:26982505
fit,0,6,Fitch Group (LevFin Insights / CreditSights),"US Project & Infrastructure Finance - Credit Analyst, Director (Legal) - New York",https://careers.fitch.group/job/New-York-US-Project-&-Infrastructure-Finance-Credit-Analyst%2C-Director-%28Legal%29-New-York-NY-10001/1383422833/,"New York, NY",nyc,,$175K–$225K base + bonus,175000.0,225000.0,base,year,regex:range,4,"- 4–7+ years of relevant experience (attorney), preferably in project finance, inf",N,N,unclear,project-finance legal document review (credit-ratings support) (meets: stretch),,,JD required/preferred; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"""an attorney ... translate legal terms and structural protections into clear, decision-useful views"" - bounded advisory-judgment fit, but Director-level seniority.",2026-09-06,,open,Employer SuccessFactors job page loaded with title and description on this run,2026-09-25,,False,board:successfactors,successfactors,careers.fitch.group,1383422833,successfactors:careers.fitch.group:1383422833
fit,0,6,Plaid,Privacy & Regulatory Counsel,https://jobs.ashbyhq.com/plaid/71c4fdf3-966a-4ec5-9560-801c5ebcecba,San Francisco HQ; Seattle Office; Raleigh Office; DC Office; New York City Office,nyc,hybrid,$188K–$224K base + equity,188000.0,224000.0,base,year,ashby:compensation,5,- 5+ years of legal experience providing solutions-oriented advice in a reputabl,Y,N,unclear,"5+ yrs financial-services regulatory/privacy counsel (GLBA, FCRA, UDAAP) (meets: stretch)",,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""5+ years of legal experience providing solutions-oriented advice"" -- he has ~4 years total, roughly one year short.",2026-09-17,,open,Ashby API lists job on board 'plaid',2026-09-25,,False,board:ashby,ashby,plaid,71c4fdf3-966a-4ec5-9560-801c5ebcecba,ashby:plaid:71c4fdf3-966a-4ec5-9560-801c5ebcecba
fit,0,6,Clipboard,Litigation Counsel,https://jobs.ashbyhq.com/clipboard/05fa099b-3a5e-4e3b-b1b5-7ba23b0db7a4,U.S. (Remote),us_remote,remote,$190K–$220K base + bonus + equity,190000.0,220000.0,base,year,ashby:compensation,5,- JD with at least 5 years of experience - Bias toward action and solving (not just spotting),Y,N,Y,in-house litigation & investigations (any practice area) (meets: Y),,,JD required/preferred; clerkship valued; litigation experience accepted; regulatory/legal/policy research for decisions; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""eager to bring your experience with litigation and investigations to an in-house role"" — direct fit for his BigLaw litigation background.",2026-08-31,,open,Ashby API lists job on board 'clipboard',2026-09-25,,False,board:ashby,ashby,clipboard,05fa099b-3a5e-4e3b-b1b5-7ba23b0db7a4,ashby:clipboard:05fa099b-3a5e-4e3b-b1b5-7ba23b0db7a4
